typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
"C","M","20241201","2024","12","202412","484","MEX","Mexico","M","Import","642","ROU","Romania","0","W00","World","H6","HS","true","9405","Luminaires and light fittings; including searchlights, spotlights and parts thereof, n.e.c.; illuminated signs, name-plates and the like, having permanently fixed light source and parts thereof n.e.c. or included","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","true","-1","N/A","0","false","0","true","0","false",,"112402","112402","6","false","true",
"C","M","20241201","2024","12","202412","484","MEX","Mexico","M","Import","699","IND","India","0","W00","World","H6","HS","true","9405","Luminaires and light fittings; including searchlights, spotlights and parts thereof, n.e.c.; illuminated signs, name-plates and the like, having permanently fixed light source and parts thereof n.e.c. or included","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","true","-1","N/A","0","false","0","true","0","false",,"253563","253563","6","false","true",
"C","M","20241201","2024","12","202412","484","MEX","Mexico","M","Import","704","VNM","Viet Nam","0","W00","World","H6","HS","true","9405","Luminaires and light fittings; including searchlights, spotlights and parts thereof, n.e.c.; illuminated signs, name-plates and the like, having permanently fixed light source and parts thereof n.e.c. or included","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","true","-1","N/A","0","false","0","true","0","false",,"1003800","1003800","6","false","true",
"C","M","20241201","2024","12","202412","484","MEX","Mexico","M","Import","724","ESP","Spain","0","W00","World","H6","HS","true","9405","Luminaires and light fittings; including searchlights, spotlights and parts thereof, n.e.c.; illuminated signs, name-plates and the like, having permanently fixed light source and parts thereof n.e.c. or included","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","true","-1","N/A","0","false","0","true","0","false",,"765762","765762","6","false","true",
"C","M","20241201","2024","12","202412","484","MEX","Mexico","M","Import","752","SWE","Sweden","0","W00","World","H6","HS","true","9405","Luminaires and light fittings; including searchlights, spotlights and parts thereof, n.e.c.; illuminated signs, name-plates and the like, having permanently fixed light source and parts thereof n.e.c. or included","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false",,"10117","10117","0","false","true",
"C","M","20241201","2024","12","202412","484","MEX","Mexico","M","Import","757","CHE","Switzerland","0","W00","World","H6","HS","true","9405","Luminaires and light fittings; including searchlights, spotlights and parts thereof, n.e.c.; illuminated signs, name-plates and the like, having permanently fixed light source and parts thereof n.e.c. or included","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","true","-1","N/A","0","false","0","true","0","false",,"36834","36834","6","false","true",
"C","M","20241201","2024","12","202412","484","MEX","Mexico","M","Import","764","THA","Thailand","0","W00","World","H6","HS","true","9405","Luminaires and light fittings; including searchlights, spotlights and parts thereof, n.e.c.; illuminated signs, name-plates and the like, having permanently fixed light source and parts thereof n.e.c. or included","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","true","-1","N/A","0","false","0","true","0","false",,"254228","254228","6","false","true",
"C","M","20241201","2024","12","202412","484","MEX","Mexico","M","Import","826","GBR","United Kingdom","0","W00","World","H6","HS","true","9405","Luminaires and light fittings; including searchlights, spotlights and parts thereof, n.e.c.; illuminated signs, name-plates and the like, having permanently fixed light source and parts thereof n.e.c. or included","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","true","-1","N/A","0","false","0","true","0","false",,"12132","12132","6","false","true",
"C","M","20241201","2024","12","202412","484","MEX","Mexico","M","Import","842","USA","USA","0","W00","World","H6","HS","true","9405","Luminaires and light fittings; including searchlights, spotlights and parts thereof, n.e.c.; illuminated signs, name-plates and the like, having permanently fixed light source and parts thereof n.e.c. or included","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","true","-1","N/A","0","false","0","true","0","false",,"10822669","10822669","6","false","true",
"C","M","20241201","2024","12","202412","484","MEX","Mexico","X","Export","0","W00","World","0","W00","World","H6","HS","true","9405","Luminaires and light fittings; including searchlights, spotlights and parts thereof, n.e.c.; illuminated signs, name-plates and the like, having permanently fixed light source and parts thereof n.e.c. or included","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","true","-1","N/A","0","false","0","true","0","false",,"169394622","169394622","6","false","true",
